StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,
41,07,201601,1.55,51.8,2.39,2.39,-.2,2.22,14,423,-.17,-.13,.02,.42,1.24,1.7,.93,40,63.6,
41,07,201602,1.63,59.6,1.9,1.9,-.72,1.37,42,193,-.23,-.38,-.25,.5,.23,1.73,1.01,46.2,73,
41,07,201603,3.9,66.1,2.33,2.33,1.88,2.33,128,94,1.24,.67,.34,1.05,.26,1.54,1.16,55.3,76.8,
41,07,201604,4.96,70.2,2.79,2.79,2.09,2.79,173,17,1.14,1.38,1.09,.66,.78,1.51,1.49,59.3,81,
41,07,201605,7.58,75.5,3.55,3.55,3.14,3.55,326,0,1.41,1.65,1.74,1.18,1.27,1.03,1.58,66.3,84.7,
41,07,201606,3.38,82.2,3.47,3.47,.86,3.47,516,0,.26,1.1,1.34,1.14,1.48,.85,1.61,72.4,91.9,
41,07,201607,1.23,86.5,3.08,3.08,-.1,2.98,666,0,-.5,-.17,.73,1.06,.81,.87,1.59,75.9,97,
41,07,201608,6.83,84,4.16,4.16,4.21,4.16,589,0,1.8,1.19,1,1.74,1.32,1.37,2.07,74.4,93.6,
41,07,201609,2.64,81.6,-.47,3.27,-1.4,2.67,498,0,-.3,1.12,.65,1.43,1.26,1.54,2.45,71.6,91.6,
41,07,201610,.38,74.8,-1.33,2.02,-2.72,.35,309,0,-1.71,-1.33,.28,.58,.91,.75,2.35,62.2,87.4,
41,07,201611,2.57,67.6,-1.5,1.5,-.94,-.48,140,62,.24,-.86,-.93,.01,.96,.73,2.26,57.2,77.9,
41,07,201612,4.2,57,-.89,1.81,1.37,.37,23,271,1.18,.81,-.12,.3,.98,.93,1.72,48.9,65.2,
05,02,201601,1.89,21.6,1.92,1.92,1.09,1.92,0,1345,.25,.67,.93,.38,1.7,.96,.74,10.6,32.5,
05,02,201602,.98,28.3,-.27,1.46,-.81,1.01,0,1028,-1.14,-.5,.08,.14,.33,.77,.51,15.9,40.6,
05,02,201603,1.66,34.6,-.58,.97,-1.01,0,0,942,-.36,-1.03,-.66,.24,.04,.9,.49,22.5,46.6,
05,02,201604,2.21,40.9,.02,.89,.07,-.05,0,723,.4,-.03,-.62,.26,-.1,1.1,.64,29.1,52.7,
05,02,201605,2.27,48.2,.52,1.3,1.5,.95,0,521,.79,.7,.36,.27,.27,.4,.65,35.5,60.8,
05,02,201606,.53,63.5,-.38,.79,-1.14,-.09,49,94,-.61,.26,.34,-.28,.34,.16,.72,47.8,79.1,
05,02,201607,1.2,65.5,-.8,-.8,-1.37,-.8,52,37,-.68,-.96,-.11,-.56,.15,-.15,.58,51,80,
05,02,201608,2.11,61.2,-.56,-.56,.46,-.56,9,127,.49,-.1,-.4,-.03,-.02,.08,.41,47.8,74.7,
05,02,201609,1.47,55.9,-.68,-.68,-.52,-.68,0,273,-.12,.17,-.19,.09,-.38,.23,.1,42.1,69.6,
05,02,201610,.85,48.4,-1.44,-1.44,-2.48,-1.44,0,515,-.98,-.77,-.45,-.46,-.75,-.1,.04,35.2,61.5,
05,02,201611,1.59,37.3,-1.87,-1.87,-1.74,-1.87,0,831,.03,-.74,-.66,-.78,-.41,-.34,.01,25.5,49,
05,02,201612,2.84,23.9,.22,-1.46,.65,-1.08,0,1274,1.13,.84,.05,-.14,.06,-.29,.22,13.7,34.2,